orf,number_of_variants_amoung_all_students
Not in an Orf,4001
FLO9,948
FLO1,291
YHL048C-A,217
PKC1,165
YHL050C,123
MTM1,99
YGK3,99
YCR024C-B,96
CTR9,96
URA3,80
SSA1,66
PYC1,66
GAL2,66
HFA1,66
NUM1,65
"YBL100W-A, YBL100W-B",62
YLL067C,62
CSS1,59
YMR317W,58
HSM3,52
APC1,35
KEL1,34
RTP1,34
GPB2,33
RDH54,33
PMP1,33
DOP1,33
SEC1,33
EBS1,33
TRP4,33
SAC7,33
PKH1,33
VID28,33
CAN1,33
MNN1,33
SHC1,33
PPX1,33
SCH9,33
TOH1,33
TAX4,33
MEH1,33
MDL1,33
ORM2,33
SST2,33
NAB6,33
YMR027W,33
PFK2,33
ESC1,33
KRE33,33
SAL1,33
MKK1,33
KRE5,33
POS5,33
RRG8,33
DPB2,33
BUD5,32
RSC30,29
LYP1,28
HIS3,28
ASG1,27
YLR302C,27
SRD1,26
YDR210C-D,24
YFL066C,19
YLR157W-D,17
"YNL054W-A, YNL054W-B",17
YEL075C,15
YLR464W,12
YHL041W,7
GPI1,6
MTL1,5
PTK1,4
YLR157W-E,4
YMR046C,4
YPL216W,4
DAL81,3
YLR462W,3
YDR239C,2
SWR1,2
BNR1,2
CIN8,2
PDR1,2
LEU1,2
BTN2,2
PEX35,2
NMD2,2
SIP4,2
"YJR028W, YJR029W",2
DAN4,2
YLL066W-B,2
RNP1,2
NUP188,2
RPM2,2
KAR5,2
SGT1,2
SEC8,2
SPC72,1
YBL086C,1
STU1,1
PDR3,1
"YBL005W-A, YBL005W-B",1
GPI18,1
ORC2,1
MEC1,1
YBR138C,1
MRPS9,1
LDH1,1
MCX1,1
ISW1,1
RIF1,1
YBR292C,1
RSC6,1
SSK22,1
PAT1,1
SRB8,1
CDC39,1
MRX19,1
UBP1,1
QRI7,1
USO1,1
PRP11,1
SOK1,1
RAD61,1
LYS14,1
YOS9,1
TGL2,1
GIS1,1
KIN1,1
SDH4,1
UPC2,1
RAD9,1
YAP6,1
ZIP1,1
HRQ1,1
MSN5,1
RAD30,1
HKR1,1
RPN9,1
HEH2,1
SPP41,1
PKH3,1
VPS3,1
SPG3,1
FYV10,1
SEC6,1
LYS1,1
YEL076C,1
SRB4,1
CHO1,1
RIM15,1
AIP5,1
SPT16,1
HOS2,1
SNT2,1
COQ8,1
PAN2,1
GUP1,1
SCY1,1
ALK1,1
CKB1,1
DPC29,1
RSC1,1
UPF3,1
YGR111W,1
PRE9,1
COQ6,1
SLH1,1
EFG1,1
FYV4,1
KSP1,1
AHT1,1
TRA1,1
GEP4,1
LAA1,1
RCY1,1
ECM25,1
DPB11,1
YHC3,1
VPS53,1
APS3,1
CPR7,1
RAD26,1
GRR1,1
FIP1,1
LOS1,1
MCD4,1
MYO3,1
BUD2,1
PAN3,1
TGL4,1
ESL2,1
VPS13,1
YLL032C,1
PUF3,1
YLR036C,1
RAX2,1
YPS1,1
ACE2,1
PEP3,1
RFX1,1
CDC123,1
BUR2,1
KAP95,1
NIT3,1
ELO3,1
SPP382,1
SEN1,1
FMP27,1
TSL1,1
PRP39,1
AEP1,1
YMR158C-A,1
SPT21,1
DML1,1
ABZ2,1
MON2,1
BNI1,1
POL2,1
CRS1,1
SUI1,1
ELA1,1
KAR1,1
TOP2,1
CRZ1,1
MSO1,1
RRI2,1
COQ3,1
GAL11,1
ESC8,1
AUS1,1
SHE4,1
STD1,1
INP53,1
RUP1,1
GSP2,1
SLK19,1
MCA1,1
SEC63,1
RPN8,1
SOG2,1
IQG1,1
CBC2,1
PRM4,1
YPL150W,1
VPS30,1
MFM1,1
ERG10,1
ECM23,1
SMK1,1
YPR097W,1
KAR3,1
